rxcui	conceptId	drugBank
325887	19018013	DB01141
108118	905233	DB00764
341018	19026450	DB00362
7514	1521369	DB00717
11636	1512674	DB01395
2238	43081142	DB01139
8331	745790	DB01100
7814	1125765	DB01192
296	43081943	DB00640
6628	994058	DB00742
7233	1713930	DB00607
6837	19004724	DB00134
37776	1341149	DB00853
4608	19112521	DB02703
4550	956653	DB00828
3007	1710446	DB00260
34905	929504	DB00807
304962	1111220	DB01274
5650	19078097	DB01177
1442199	44507903	DB03696
4126	1350040	DB01143
1546265	45775340	DB01356
784	43117398	DB01536
4508	1356461	DB00499
37255	1340532	DB00139
21183	950435	DB04272
18602	19018514	DB00548
228833	19089496	DB00538
2323	43081237	DB06777
33272	723344	DB01579
31565	714684	DB01149
1373458	43526465	DB08907
3361	43084010	DB00804
1425983	43532296	DB04221
6064	984232	DB00982
10193	1036487	DB06147
1112990	40239995	DB04953
4488	1355509	DB00322
21249	950882	DB00838
339270	19093392	DB01079
3102	43083723	DB01406
1314412	42903868	DB03147
673579	19125387	DB01255
8120	933724	DB01438
1841	1133732	DB00611
83947	947416	DB00799
3446	1728909	DB00566
3251	43083888	DB00035
10159	19136247	DB02772
44157	19054825	DB00242
38685	942799	DB00662
5942	980867	DB04815
733003	19017581	DB06809
22656	1588000	DB00304
7531	721724	DB00540
10395	1836948	DB00759
21116	19050346	DB03852
236778	991825	DB00209
6883	1305637	DB00353
6754	1102527	DB00454
3430	43084087	DB01775
2597	43081540	DB01242
8691	751347	DB00794
3640	1738521	DB00254
1367492	43012448	DB01738
1489913	44814542	DB06262
235991	19055714	DB00864
3500	930916	DB01081
36567	1539403	DB00641
1243041	42709323	DB08820
1537034	44818499	DB09030
1363061	43012290	DB03900
23043	19089579	DB06781
1482790	44785086	DB06290
73645	1717704	DB00577
3264	43083902	DB01234
1546421	740924	DB01010
1427088	43532213	DB08844
1424	43076569	DB00245
9793	966956	DB05245
1592254	45775206	DB04951
1306181	42898590	DB02425
18867	1335471	DB00542
7538	19022015	DB01051
6782	1503184	DB01357
641	43117240	DB00479
132889	19015395	DB06707
1368167	43013779	DB07810
10324	1436678	DB00675
21245	19047103	DB01013
18889	935529	DB00892
596205	781182	DB00980
18997	19018546	DB01878
5487	974166	DB00999
1009342	40226753	DB04910
32638	918222	DB00239
1901	19036781	DB01164
10510	700465	DB01623
23744	992308	DB00645
6448	19124477	DB01356
4452	1555120	DB00687
704	43117310	DB00321
5296	1368823	DB00488
14584	1519936	DB00294
21216	19046939	DB00766
10829	1705674	DB00440
77492	924566	DB00706
108088	905151	DB00240
1442132	44507580	DB08932
10169	1036252	DB00634
2438	43081364	DB04540
4337	1154029	DB00813
1428878	43533055	DB02517
1364105	43012417	DB06663
33562	1724700	DB00529
5691	778268	DB00458
9068	1360421	DB00908
36453	19039298	DB01236
10600	902427	DB00373
51272	766814	DB01224
10763	904542	DB00384
683	43117286	DB00855
8123	733896	DB00780
10172	19000818	DB06150
4815	1559684	DB01016
29561	1709170	DB00760
1588	19024770	DB00121
1422	719128	DB00865
24460	19095285	DB06689
83367	1545958	DB01076
337523	19025348	DB04845
5281	19068688	DB04703
7268	915392	DB00826
23321	19054919	DB01160
155036	19018252	DB00888
4110	1749301	DB00330
91311	960988	DB00223
233698	40163615	DB04855
1539753	45775080	DB09040
187832	734354	DB00230
136561	19011433	DB00565
3554	735850	DB00822
31476	914053	DB00735
322167	916005	DB01591
3639	43084318	DB00997
141400	19011439	DB00718
1597582	45892579	DB09074
38574	742594	DB02650
1357536	42904205	DB08183
283810	904525	DB00905
1426	43076571	DB06770
24591	1595461	DB00823
60207	981709	DB00869
1169	19012686	DB00128
5021	1763779	DB00400
1091	19006410	DB00125
195088	1738170	DB01601
2449	43081376	DB00122
732	43117341	DB00681
31805	1315286	DB00665
25025	996416	DB01216
1551777	45774613	DB09049
4885	19060985	DB02174
11248	1308738	DB00115
4053	1746940	DB00199
8737	19052736	DB02853
52769	1368671	DB00235
24852	19061368	DB01039
5340	19069149	DB00117
10865	19006047	DB03754
1311085	42900552	DB02134
73710	1517740	DB00910
896038	40173188	DB03895
31435	19012543	DB00385
25789	1597756	DB00222
274332	1502826	DB00731
1549332	45776593	DB02345
1433868	43560385	DB08930
1314271	42903762	DB02771
5293	1768734	DB00756
72236	713192	DB01320
25102	19064184	DB01073
42355	751412	DB00176
7243	1714319	DB00704
283809	904501	DB00287
358258	1336825	DB07475
21107	1350310	DB01166
9009	1159811	DB06691
57308	1378509	DB01030
325646	1317967	DB09026
41144	19103699	DB00225
3247	716968	DB01151
2231	43081135	DB00567
1546454	45775582	DB02406
1648124	46221355	DB01744
9010	1760039	DB00205
1440856	44506782	DB02659
1314344	42903827	DB01992
1045453	40230712	DB08871
1242806	42709320	DB05013
3626	43084304	DB01184
4845	1360332	DB01296
7442	19020068	DB00435
1364504	43012518	DB08903
3995	1344354	DB00445
475342	1358436	DB01254
54552	1373225	DB00790
2176	1768849	DB00833
25389	19065830	DB01677
9639	766209	DB01037
2346	1390051	DB00291
7247	914533	DB06711
220982	1385800	DB01392
1311563	42900435	DB03119
4094	19049038	DB04573
25916	19066168	DB02517
1025342	40228423	DB04789
10450	1837289	DB00730
