drugbankid	drugbankName	pubchemSubstanceId	pubchemCompoundId
DB00657	Mecamylamine	46508607	4032
DB00658	Sevelamer	46505951	3085017
DB00659	Acamprosate	46506657	71158
DB00660	Metaxalone	46506253	15459
DB00661	Verapamil	46508158	2520
DB00662	Trimethobenzamide	46507787	5577
DB00663	Flumethasone Pivalate	46505121	443980
DB00664	Sulfametopyrazine	46505111	9047
DB00665	Nilutamide	46505381	4493
DB00666	Nafarelin	46506496	25077649
DB00667	Histamine Phosphate	46509118	65513
DB00668	Epinephrine	46509097	5816
DB00669	Sumatriptan	46506520	5358
DB00670	Pirenzepine	46509029	4848
DB00671	Cefixime
DB00672	Chlorpropamide	46506402	2727
DB00673	Aprepitant
DB00674	Galantamine	46505659	908828
DB00675	Tamoxifen	46505515	2733526
DB00676	Benzyl Benzoate	46508023	2345
DB00677	Isoflurophate	46504499	5936
DB00678	Losartan	46506538	3961
DB00679	Thioridazine	46509070	5452
DB00680	Moricizine	46509072	34633
DB00681	Amphotericin B	46505473	5280965
DB00682	Warfarin
DB00683	Midazolam	46507611	4192
DB00684	Tobramycin	46507662	36294
DB00685	Trovafloxacin	46508751	62959
DB00686	Pentosan Polysulfate	46509187	37720
DB00687	Fludrocortisone	46508616	31378
DB00688	Mycophenolate mofetil	46505626	5281078
DB00689	Cephaloglycin	46506850	19150
DB00690	Flurazepam	46508451	3393
DB00691	Moexipril	46508441	91270
DB00692	Phentolamine	46506535	5775
DB00693	Fluorescein	46504703	16850
DB00694	Daunorubicin	46508433	30323
DB00695	Furosemide	46506779	3440
DB00696	Ergotamine	46507632	8223
DB00697	Tizanidine	46505373	5487
DB00698	Nitrofurantoin	46504447	5353830
DB00699	Nicergoline	46508741	34040
DB00700	Eplerenone
DB00701	Amprenavir	46507537	65016
DB00702	Icodextrin
DB00703	Methazolamide	46506393	4100
DB00704	Naltrexone	46505333	5360515
DB00705	Delavirdine	46508878	5625
DB00706	Tamsulosin	46507763	129211
DB00707	Porfimer
DB00708	Sufentanil	46504737	41693
DB00709	Lamivudine	46507855	60825
DB00710	Ibandronate	46508134	60852
DB00711	Diethylcarbamazine	46506830	3052
DB00712	Flurbiprofen	46505550	3394
DB00713	Oxacillin	46505710	6196
DB00714	Apomorphine	46508653	6005
DB00715	Paroxetine	46504821	43815
DB00716	Nedocromil	46507587	50294
DB00717	Norethindrone	46504816	6230
DB00718	Adefovir Dipivoxil	46507520	60871
DB00719	Azatadine	46507958	19861
DB00720	Clodronate	46508646	25419
DB00721	Procaine	46507724	4914
DB00722	Lisinopril	46504893	5362119
DB00723	Methoxamine	46506264	6082
DB00724	Imiquimod	46505394	57469
DB00725	Homatropine Methylbromide
DB00726	Trimipramine	46507121	5584
DB00727	Nitroglycerin	46509120	4510
DB00728	Rocuronium	46506855	441290
DB00729	Diphemanil Methylsulfate	46506069	6126
DB00730	Thiabendazole	46505131	5430
DB00731	Nateglinide
DB00732	Atracurium	46504689	47319
DB00733	Pralidoxime
DB00734	Risperidone	46505850	5073
DB00735	Naftifine	46504777	47641
DB00736	Esomeprazole
DB00737	Meclizine	46507782	4034
DB00738	Pentamidine	46508562	4735
DB00739	Hetacillin	46504545	443387
DB00740	Riluzole	46508094	5070
DB00741	Hydrocortisone	46505089	5754
DB00742	Mannitol
DB00743	Gadobenate Dimeglumine	46506805	6918204
DB00744	Zileuton	46506394	60490
DB00745	Modafinil	46504648	4236
DB00746	Deferoxamine	46506395	2973
DB00747	Scopolamine
DB00748	Carbinoxamine	46506787	2564
DB00749	Etodolac	46505184	3308
DB00750	Prilocaine	46505066	4906
DB00751	Epinastine	46509056	3241
DB00752	Tranylcypromine	46505832	441233
DB00753	Isoflurane	46505880	3763
DB00754	Ethotoin	46504521	3292
DB00755	Tretinoin	46504843	444795
DB00756	Hexachlorophene	46505858	3598
DB00757	Dolasetron	46505209	60654
DB00758	Clopidogrel
DB00759	Tetracycline	46506693	5280962
DB00760	Meropenem
DB00761	Potassium Chloride	46506038	4873
DB00762	Irinotecan	46505871	60838
DB00763	Methimazole	46506536	1349907
DB00764	Mometasone
DB00765	Metyrosine	46506079	441350
DB00766	Clavulanate	46508845	5280980
DB00767	Benzquinamide	46506155	2342
DB00768	Olopatadine	46506025	5281071
DB00769	Hydrocortamate
DB00770	Alprostadil	46508029	5280723
DB00771	Clidinium
DB00772	Malathion	46505287	4004
DB00773	Etoposide	46505434	36462
DB00774	Hydroflumethiazide	46505220	3647
DB00775	Tirofiban	46504678	60947
DB00776	Oxcarbazepine	46507580	34312
DB00777	Propiomazine	46506205	4940
DB00778	Roxithromycin
DB00779	Nalidixic Acid	46507401	4421
DB00780	Phenelzine	46507348	3675
DB00781	Polymyxin B Sulfate	46507302	4868
DB00782	Propantheline	46507187	4934
DB00783	Estradiol	46508115	5757
DB00784	Mefenamic acid	46505405	4044
DB00785	Cryptenamine
DB00786	Marimastat	46505547	119031
DB00787	Aciclovir	46506002	2022
DB00788	Naproxen
